ID,sexo,año,pob
02005,Hombre,2012,47539
02005,Hombre,2013,47725
02005,Hombre,2014,47914
02005,Hombre,2015,48262
02005,Mujer,1990,0
02005,Mujer,1991,0
02005,Mujer,1992,0
02005,Mujer,1993,0
02005,Mujer,1994,0
02005,Mujer,1995,0
02005,Mujer,1996,0
02005,Mujer,1997,0
02005,Mujer,1998,0
02005,Mujer,1999,0
02005,Mujer,2000,31654
02005,Mujer,2001,32615
02005,Mujer,2002,33584
02005,Mujer,2003,34563
02005,Mujer,2004,35532
02005,Mujer,2005,36940
02005,Mujer,2006,38344
02005,Mujer,2007,39762
02005,Mujer,2008,41184
02005,Mujer,2009,42602
02005,Mujer,2010,44127
02005,Mujer,2011,44973
02005,Mujer,2012,45839
02005,Mujer,2013,46709
02005,Mujer,2014,47575
02005,Mujer,2015,48472
03001,Hombre,1990,38090
03001,Hombre,1991,37466
03001,Hombre,1992,36855
03001,Hombre,1993,36233
03001,Hombre,1994,35625
03001,Hombre,1995,35015
03001,Hombre,1996,34390
03001,Hombre,1997,33779
03001,Hombre,1998,33160
03001,Hombre,1999,32552
03001,Hombre,2000,32074
03001,Hombre,2001,31735
03001,Hombre,2002,31574
03001,Hombre,2003,31417
03001,Hombre,2004,31256
03001,Hombre,2005,31110
03001,Hombre,2006,31735
03001,Hombre,2007,32416
03001,Hombre,2008,33092
03001,Hombre,2009,33773
03001,Hombre,2010,34670
03001,Hombre,2011,34958
03001,Hombre,2012,35301
03001,Hombre,2013,35646
03001,Hombre,2014,35989
03001,Hombre,2015,36413
03001,Mujer,1990,37190
03001,Mujer,1991,36518
03001,Mujer,1992,35891
03001,Mujer,1993,35263
03001,Mujer,1994,34638
03001,Mujer,1995,34018
03001,Mujer,1996,33399
03001,Mujer,1997,32770
03001,Mujer,1998,32146
03001,Mujer,1999,31523
03001,Mujer,2000,30947
03001,Mujer,2001,30849
03001,Mujer,2002,30767
03001,Mujer,2003,30668
03001,Mujer,2004,30586
03001,Mujer,2005,30600
03001,Mujer,2006,31551
03001,Mujer,2007,32575
03001,Mujer,2008,33594
03001,Mujer,2009,34618
03001,Mujer,2010,35688
03001,Mujer,2011,35740
03001,Mujer,2012,35822
03001,Mujer,2013,35905
03001,Mujer,2014,35987
03001,Mujer,2015,36151
03002,Hombre,1990,19720
03002,Hombre,1991,20018
03002,Hombre,1992,20388
03002,Hombre,1993,20774
03002,Hombre,1994,21146
03002,Hombre,1995,21524
03002,Hombre,1996,21899
03002,Hombre,1997,22271
03002,Hombre,1998,22657
03002,Hombre,1999,23027
03002,Hombre,2000,23514
03002,Hombre,2001,24027
03002,Hombre,2002,24552
03002,Hombre,2003,25082
03002,Hombre,2004,25607
03002,Hombre,2005,26310
03002,Hombre,2006,27105
03002,Hombre,2007,27912
03002,Hombre,2008,28728
03002,Hombre,2009,29535
03002,Hombre,2010,30385
03002,Hombre,2011,30508
03002,Hombre,2012,30652
03002,Hombre,2013,30789
03002,Hombre,2014,30933
03002,Hombre,2015,31114
03002,Mujer,1990,18860
03002,Mujer,1991,19087
03002,Mujer,1992,19358
03002,Mujer,1993,19644
03002,Mujer,1994,19909
03002,Mujer,1995,20184
03002,Mujer,1996,20451
03002,Mujer,1997,20721
03002,Mujer,1998,21002
03002,Mujer,1999,21268
03002,Mujer,2000,21621
03002,Mujer,2001,22208
03002,Mujer,2002,22821
03002,Mujer,2003,23441
03002,Mujer,2004,24054
03002,Mujer,2005,24720
03002,Mujer,2006,25323
03002,Mujer,2007,26021
03002,Mujer,2008,26738
03002,Mujer,2009,27436
03002,Mujer,2010,28239
03002,Mujer,2011,28356
03002,Mujer,2012,28492
03002,Mujer,2013,28640
03002,Mujer,2014,28776
03002,Mujer,2015,29057
03003,Hombre,1990,80170
03003,Hombre,1991,81904
03003,Hombre,1992,83709
03003,Hombre,1993,85512
03003,Hombre,1994,87313
03003,Hombre,1995,89117
03003,Hombre,1996,90926
03003,Hombre,1997,92728
03003,Hombre,1998,94530
03003,Hombre,1999,96334
03003,Hombre,2000,98184
03003,Hombre,2001,100404
03003,Hombre,2002,102647
03003,Hombre,2003,104880
03003,Hombre,2004,107123
03003,Hombre,2005,109560
03003,Hombre,2006,112298
03003,Hombre,2007,115244
03003,Hombre,2008,118192
03003,Hombre,2009,121138
03003,Hombre,2010,124086
03003,Hombre,2011,126043
03003,Hombre,2012,127996
03003,Hombre,2013,129956
03003,Hombre,2014,131909
03003,Hombre,2015,133983
03003,Mujer,1990,79840
